,temp,design,hub_material,folder,subfolder_i,timestep,date,def_file,config,field_n,field,wfe
0,3,sandwich hub,Ti,SYS_11_(Static_Structural)\,3,_Timestep_00001,_20240405\,SYS_11_(Static_Structural)\03_Timestep_00001_20240405\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.702886798261853
1,3,sandwich hub,Ti,SYS_11_(Static_Structural)\,3,_Timestep_00001,_20240405\,SYS_11_(Static_Structural)\03_Timestep_00001_20240405\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.7195084316136856
2,3,sandwich hub,Ti,SYS_11_(Static_Structural)\,3,_Timestep_00001,_20240405\,SYS_11_(Static_Structural)\03_Timestep_00001_20240405\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.2879615871025257
3,3,sandwich hub,Ti,SYS_11_(Static_Structural)\,3,_Timestep_00001,_20240405\,SYS_11_(Static_Structural)\03_Timestep_00001_20240405\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.26979943870894857
4,8,sandwich hub,Ti,SYS_11_(Static_Structural)\,7,_Timestep_00002,_20240405\,SYS_11_(Static_Structural)\07_Timestep_00002_20240405\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.6023017370383702
5,8,sandwich hub,Ti,SYS_11_(Static_Structural)\,7,_Timestep_00002,_20240405\,SYS_11_(Static_Structural)\07_Timestep_00002_20240405\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.621115887782409
6,8,sandwich hub,Ti,SYS_11_(Static_Structural)\,7,_Timestep_00002,_20240405\,SYS_11_(Static_Structural)\07_Timestep_00002_20240405\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.24802236048493992
7,8,sandwich hub,Ti,SYS_11_(Static_Structural)\,7,_Timestep_00002,_20240405\,SYS_11_(Static_Structural)\07_Timestep_00002_20240405\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.22980601857451055
8,13,sandwich hub,Ti,SYS_11_(Static_Structural)\,11,_Timestep_00003,_20240405\,SYS_11_(Static_Structural)\11_Timestep_00003_20240405\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.46704944027262646
9,13,sandwich hub,Ti,SYS_11_(Static_Structural)\,11,_Timestep_00003,_20240405\,SYS_11_(Static_Structural)\11_Timestep_00003_20240405\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.48848424653657235
10,13,sandwich hub,Ti,SYS_11_(Static_Structural)\,11,_Timestep_00003,_20240405\,SYS_11_(Static_Structural)\11_Timestep_00003_20240405\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.19529863033477343
11,13,sandwich hub,Ti,SYS_11_(Static_Structural)\,11,_Timestep_00003,_20240405\,SYS_11_(Static_Structural)\11_Timestep_00003_20240405\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.17779452768643858
12,18,sandwich hub,Ti,SYS_11_(Static_Structural)\,15,_Timestep_00004,_20240405\,SYS_11_(Static_Structural)\15_Timestep_00004_20240405\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.27294952259867006
13,18,sandwich hub,Ti,SYS_11_(Static_Structural)\,15,_Timestep_00004,_20240405\,SYS_11_(Static_Structural)\15_Timestep_00004_20240405\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.2993052129826309
14,18,sandwich hub,Ti,SYS_11_(Static_Structural)\,15,_Timestep_00004,_20240405\,SYS_11_(Static_Structural)\15_Timestep_00004_20240405\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.12323186514071277
15,18,sandwich hub,Ti,SYS_11_(Static_Structural)\,15,_Timestep_00004,_20240405\,SYS_11_(Static_Structural)\15_Timestep_00004_20240405\Surface_00_Deformation.txt,SWIR,2.0,-++corner,0.10969771049178424
16,23,sandwich hub,Ti,SYS_11_(Static_Structural)\,19,_Timestep_00005,_20240405\,SYS_11_(Static_Structural)\19_Timestep_00005_20240405\Surface_00_Deformation.txt,VNIR,1.0,on-axis,0.016132102596961132
17,23,sandwich hub,Ti,SYS_11_(Static_Structural)\,19,_Timestep_00005,_20240405\,SYS_11_(Static_Structural)\19_Timestep_00005_20240405\Surface_00_Deformation.txt,VNIR,2.0,-++corner,0.07719482584277279
18,23,sandwich hub,Ti,SYS_11_(Static_Structural)\,19,_Timestep_00005,_20240405\,SYS_11_(Static_Structural)\19_Timestep_00005_20240405\Surface_00_Deformation.txt,SWIR,1.0,on-axis,0.060798470346423515
