,temp,design,hub_material,folder,subfolder_i,timestep,date,def_file,config,field_n,field,M2_offset_init,M2_offset_final,wfe
0,3,sandwich hub,Ti,SYS_11_(Static_Structural)\,3,_Timestep_00001,_20240405\,SYS_11_(Static_Structural)\03_Timestep_00001_20240405\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.67772869153706,0.15955049418989273
1,3,sandwich hub,Ti,SYS_11_(Static_Structural)\,3,_Timestep_00001,_20240405\,SYS_11_(Static_Structural)\03_Timestep_00001_20240405\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.67772869153706,0.7195083949143808
2,3,sandwich hub,Ti,SYS_11_(Static_Structural)\,3,_Timestep_00001,_20240405\,SYS_11_(Static_Structural)\03_Timestep_00001_20240405\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.67772869153706,0.28796039683240715
3,3,sandwich hub,Ti,SYS_11_(Static_Structural)\,3,_Timestep_00001,_20240405\,SYS_11_(Static_Structural)\03_Timestep_00001_20240405\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.67772869153706,0.26979699459029044
4,8,sandwich hub,Ti,SYS_11_(Static_Structural)\,7,_Timestep_00002,_20240405\,SYS_11_(Static_Structural)\07_Timestep_00002_20240405\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.67933760888594,0.10668201344172805
5,8,sandwich hub,Ti,SYS_11_(Static_Structural)\,7,_Timestep_00002,_20240405\,SYS_11_(Static_Structural)\07_Timestep_00002_20240405\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.67933760888594,0.6211158878684179
6,8,sandwich hub,Ti,SYS_11_(Static_Structural)\,7,_Timestep_00002,_20240405\,SYS_11_(Static_Structural)\07_Timestep_00002_20240405\Surface_00_Deformation.txt,SWIR,1.0,on-axis,-93.6892240574511,-93.67933760888594,0.24802236049058748
7,8,sandwich hub,Ti,SYS_11_(Static_Structural)\,7,_Timestep_00002,_20240405\,SYS_11_(Static_Structural)\07_Timestep_00002_20240405\Surface_00_Deformation.txt,SWIR,2.0,-++corner,-93.6892240574511,-93.67933760888594,0.22980356783209818
8,13,sandwich hub,Ti,SYS_11_(Static_Structural)\,11,_Timestep_00003,_20240405\,SYS_11_(Static_Structural)\11_Timestep_00003_20240405\Surface_00_Deformation.txt,VNIR,1.0,on-axis,-93.6892240574511,-93.68153428985343,0.061746091723951124
9,13,sandwich hub,Ti,SYS_11_(Static_Structural)\,11,_Timestep_00003,_20240405\,SYS_11_(Static_Structural)\11_Timestep_00003_20240405\Surface_00_Deformation.txt,VNIR,2.0,-++corner,-93.6892240574511,-93.68153428985343,0.4884842464100681
