,preload,stiffness,folder,subfolder_i,timestep,date,def_file,config,field_n,field,term,wave,samp,zern
0,0,nominal,,,,,zero,VNIR,1,on-axis,1,3,4,-0.063733817
1,0,nominal,,,,,zero,VNIR,1,on-axis,2,3,4,-6.52E-13
2,0,nominal,,,,,zero,VNIR,1,on-axis,3,3,4,9.57E-14
3,0,nominal,,,,,zero,VNIR,1,on-axis,4,3,4,0.006140871
4,0,nominal,,,,,zero,VNIR,1,on-axis,5,3,4,4.08E-12
5,0,nominal,,,,,zero,VNIR,1,on-axis,6,3,4,-1.21E-12
6,0,nominal,,,,,zero,VNIR,1,on-axis,7,3,4,1.96E-13
7,0,nominal,,,,,zero,VNIR,1,on-axis,8,3,4,-4.52E-13
8,0,nominal,,,,,zero,VNIR,1,on-axis,9,3,4,5.66E-13
9,0,nominal,,,,,zero,VNIR,1,on-axis,10,3,4,-9.81E-13
10,0,nominal,,,,,zero,VNIR,1,on-axis,11,3,4,-0.003487552
11,0,nominal,,,,,zero,VNIR,1,on-axis,12,3,4,1.33E-12
12,0,nominal,,,,,zero,VNIR,1,on-axis,13,3,4,-2.99E-12
13,0,nominal,,,,,zero,VNIR,1,on-axis,14,3,4,9.17E-06
14,0,nominal,,,,,zero,VNIR,1,on-axis,15,3,4,-1.30E-12
15,100,nominal,SYS_03_(Preload_deformation)\,0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,1,3,4,-0.180856346
16,100,nominal,SYS_03_(Preload_deformation)\,0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,2,3,4,0.001137646
17,100,nominal,SYS_03_(Preload_deformation)\,0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,3,3,4,-0.000212202
18,100,nominal,SYS_03_(Preload_deformation)\,0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,4,3,4,-0.02406078
19,100,nominal,SYS_03_(Preload_deformation)\,0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,5,3,4,-0.086705351
20,100,nominal,SYS_03_(Preload_deformation)\,0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,6,3,4,0.094680971
21,100,nominal,SYS_03_(Preload_deformation)\,0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,7,3,4,0.000640537
22,100,nominal,SYS_03_(Preload_deformation)\,0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,8,3,4,0.000405681
23,100,nominal,SYS_03_(Preload_deformation)\,0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,9,3,4,-0.010982754
24,100,nominal,SYS_03_(Preload_deformation)\,0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1,on-axis,10,3,4,0.004351408
