,preload,stiffness,folder,subfolder_i,timestep,date,def_file,config,field_n,field,term,wave,samp,zern
0,0,nominal,,,,,zero,VNIR,1.0,on-axis,1.0,3.0,4.0,-0.06373381657794844
1,0,nominal,,,,,zero,VNIR,1.0,on-axis,2.0,3.0,4.0,-6.515139415569971e-13
2,0,nominal,,,,,zero,VNIR,1.0,on-axis,3.0,3.0,4.0,9.571376862249207e-14
3,0,nominal,,,,,zero,VNIR,1.0,on-axis,4.0,3.0,4.0,0.0061408713349875065
4,0,nominal,,,,,zero,VNIR,1.0,on-axis,5.0,3.0,4.0,4.082678986706401e-12
5,0,nominal,,,,,zero,VNIR,1.0,on-axis,6.0,3.0,4.0,-1.2117234527309982e-12
6,0,nominal,,,,,zero,VNIR,1.0,on-axis,7.0,3.0,4.0,1.9555678986669327e-13
7,0,nominal,,,,,zero,VNIR,1.0,on-axis,8.0,3.0,4.0,-4.519917143154113e-13
8,0,nominal,,,,,zero,VNIR,1.0,on-axis,9.0,3.0,4.0,5.657311633654534e-13
9,0,nominal,,,,,zero,VNIR,1.0,on-axis,10.0,3.0,4.0,-9.81220115401312e-13
10,0,nominal,,,,,zero,VNIR,1.0,on-axis,11.0,3.0,4.0,-0.0034875524088040545
11,0,nominal,,,,,zero,VNIR,1.0,on-axis,12.0,3.0,4.0,1.3277411051757632e-12
12,0,nominal,,,,,zero,VNIR,1.0,on-axis,13.0,3.0,4.0,-2.9939992236032336e-12
13,0,nominal,,,,,zero,VNIR,1.0,on-axis,14.0,3.0,4.0,9.174752083927068e-06
14,0,nominal,,,,,zero,VNIR,1.0,on-axis,15.0,3.0,4.0,-1.2994403277855141e-12
15,100,nominal,SYS_03_(Preload_deformation)\,0.0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,1.0,3.0,4.0,-0.18085634634990136
16,100,nominal,SYS_03_(Preload_deformation)\,0.0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,2.0,3.0,4.0,0.0011376459134686077
17,100,nominal,SYS_03_(Preload_deformation)\,0.0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,3.0,3.0,4.0,-0.00021220192742766133
18,100,nominal,SYS_03_(Preload_deformation)\,0.0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,4.0,3.0,4.0,-0.0240607796786412
19,100,nominal,SYS_03_(Preload_deformation)\,0.0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,5.0,3.0,4.0,-0.08670535057951291
20,100,nominal,SYS_03_(Preload_deformation)\,0.0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,6.0,3.0,4.0,0.09468097080853004
21,100,nominal,SYS_03_(Preload_deformation)\,0.0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,7.0,3.0,4.0,0.000640537108177867
22,100,nominal,SYS_03_(Preload_deformation)\,0.0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,8.0,3.0,4.0,0.00040568057080957805
23,100,nominal,SYS_03_(Preload_deformation)\,0.0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,9.0,3.0,4.0,-0.010982754388508813
24,100,nominal,SYS_03_(Preload_deformation)\,0.0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,10.0,3.0,4.0,0.00435140845870171
25,100,nominal,SYS_03_(Preload_deformation)\,0.0,_Timestep_00001,_20231130\,SYS_03_(Preload_deformation)\00_Timestep_00001_20231130\Surface_00_Deformation.txt,VNIR,1.0,on-axis,11.0,3.0,4.0,0.0010388096786969727
