,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern,zern
preload,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
term,,,,,,,,,,,,,,,,,,,,,
1.0,-0.2066890644638445,-0.1882702033925826,-0.2066890650458554,-0.2303426235553256,-0.2575491876273263,-0.2852351626949702,-0.3140781378523481,-0.3439293061569676,-0.372672174278285,-0.4004935865222158,-0.426567473767544,-0.4514300288767818,-0.4751938301358536,-0.4986413892169097,-0.5219481986680897,-0.545128171076908,-0.5682073508071382,-0.5912825306186973,-0.6142989074895628,-0.6372766220049628,-0.660238998166528
2.0,0.0008947064724358,-0.0001597481089499,0.000876507897919,0.0016014868231824,0.0006770744335047,0.0010149841984939,-0.0004969219213073,-0.0003893650835716,-0.0007056402157528,-0.00094850889647,-0.0009065959546591,-0.0007446602193469,-0.0005022310838869,-0.0003373322240317,-0.0002675046101114,-0.0001782313097573,5.064963017842414e-05,0.0003233638755492,0.0005144517762177,0.0008050240592693,0.0009725086247662
3.0,-0.0010721089369945,-0.0007631978864599,-0.0010721089365628,-0.0013846816373944,-0.0017282756860876,-0.0020499204335008,-0.0018027688743297,-0.0013666300768174,-0.0010225778679745,-0.0008881691724825,-0.0006217184499031,-0.0002788658815074,-5.814389588709775e-05,0.0002138203767072,0.0003431648233504,0.0004180098024453,0.0004533634762925,0.0005263254854175,0.000547289750016,0.0006319481917604,0.0007422993361496
4.0,-0.0388977916433695,-0.0276413910408575,-0.0388977916443532,-0.0518776516109698,-0.0657905434200775,-0.0794798233788867,-0.0931093648620035,-0.1068005533204249,-0.1196142228529464,-0.1317222612339849,-0.1428427946170386,-0.1533625308641563,-0.1634011070959873,-0.1732943495518294,-0.1831212663843885,-0.1928868597212578,-0.2026013764941319,-0.2123105775014573,-0.2219917081779362,-0.2316560951384797,-0.2413133141382915
5.0,-0.0068124088041706,-0.0064644584592981,-0.0068124088040697,-0.0048883626988153,-0.0027395635851015,-0.002271905393875,-0.0024573632545065,-0.0024715188527002,-0.001636379712158,-0.0007142789842551,-0.0007720509090234,-0.0003539343752039,-0.000382485903887,-0.0005077597717095,-0.0004619045424797,-0.0001808715557136,-8.611739843519244e-06,0.0002001459194681,0.0003361103891292,0.0003387483418454,0.0003725377751088
6.0,-0.0021565518114388,0.0013544190039939,-0.0021565518122837,-0.0003233145877651,0.0021797577186442,0.004568542115579,0.0079090636373736,0.0074705759730636,0.0080632937965155,0.0072975018485484,0.0061979161331134,0.0054831525112107,0.0047867843751444,0.0045858113934173,0.0046066216666431,0.0047439700187959,0.0048411394165542,0.004907964338019,0.0050776918066333,0.0051529420255365,0.0052132734733102
7.0,-0.0001148478703303,-7.158959641159332e-05,-0.0001148478699332,-0.0001556808961913,-0.0002039337927963,-0.0002529723904163,-0.0002435679677396,-0.0001981648727757,-0.0001730982208765,-0.0001707990785861,-0.000140624938533,-9.623300618300948e-05,-6.805335468550024e-05,-2.664049372144747e-05,-5.337671302043453e-06,7.151181655087684e-06,1.3320153199259047e-05,3.141016117135695e-05,3.656433928591096e-05,4.9271070014303325e-05,6.362562760966908e-05
8.0,0.0001762792273757,7.633672948182813e-05,0.0001762795575361,0.0003146306186599,0.0001744212536722,0.0001816379660996,3.239482651274293e-05,1.998085976011648e-05,-2.702234958385509e-05,-6.63825091245771e-05,-6.227492430914317e-05,-4.605197863743609e-05,-1.869085944416522e-05,5.7911555920468684e-06,1.909242321250784e-05,3.876895711030875e-05,7.083216189523527e-05,0.0001074133839187,0.0001371465489309,0.0001733579611965,0.0001969556739406
